Year,OekologiskeDyrIAlt,Kvaeg,Gris,Fjerkrae,AndreDyr
1995,260456,21196,4177,229564,5519
1996,380615,45532,19320,309323,6440
1997,465914,50191,22056,385542,8125
1998,840267,80768,50834,696563,12102
1999,1225886,116969,67984,1026240,14693
2000,1297410,150582,68239,1062054,16535
2001,1549175,150512,67179,1314538,16946
2002,1592212,144977,79786,1349471,17978
2003,1402834,133278,73791,1179147,16618
2004,1179802,125200,58361,980797,15444
2005,1170601,122760,53541,979241,15059
2006,1196726,132147,82328,966512,15739
2007,1218738,136873,134016,933212,14637
2008,1418596,141893,182449,1077361,16893
2009,1713603,159351,179903,1357374,16975
2010,1533612,164523,180787,1174770,13532
2011,1691964,169784,171229,1337031,13920
2012,1767083,183262,232051,1337966,13804
2013,2022879,181508,239453,1588991,12927
2014,2040541,182131,215581,1630357,12472
2015,2646302,157527,260510,2216589,11676
2016,3029292,164397,283118,2569163,12614
2017,4445091,199870,374963,3856286,13972
2018,4231429,220754,488886,3506802,14987
2019,4079314,224348,490924,3349215,14827
2020,4630803,227336,455549,3932420,15498
2021,4881245,231472,484443,4150917,14413
